,rera_id,building_id,parking_type,count_booked
365,P49600000134,,Covered Parking ( In Numbers),0
366,P49600000135,,Number of Garages ( In Numbers),0
367,P49600000135,,Covered Parking ( In Numbers),0
368,P49600000136,,Number of Garages ( In Numbers),0
369,P49600000136,,Covered Parking ( In Numbers),0
370,P49600000137,,Number of Garages ( In Numbers),0
371,P49600000137,,Covered Parking ( In Numbers),0
372,P49600000138,,Number of Garages ( In Numbers),0
373,P49600000138,,Covered Parking ( In Numbers),0
374,P49600000139,,Number of Garages ( In Numbers),0
375,P49600000139,,Covered Parking ( In Numbers),0
376,P49600000140,,Number of Garages ( In Numbers),0
377,P49600000140,,Covered Parking ( In Numbers),0
378,P49600000141,,Number of Garages ( In Numbers),0
379,P49600000141,,Covered Parking ( In Numbers),0
380,P49600000142,,Number of Garages ( In Numbers),0
381,P49600000142,,Covered Parking ( In Numbers),0
382,P49600000143,,Number of Garages ( In Numbers),0
383,P49600000143,,Covered Parking ( In Numbers),0
384,P49700007540,,Number of Garages ( In Numbers),0
385,P49700007540,,Covered Parking ( In Numbers),36
386,P49700008973,,Number of Garages ( In Numbers),0
387,P49700008973,,Covered Parking ( In Numbers),0
388,P49700009502,,Number of Garages ( In Numbers),0
389,P49700009502,,Covered Parking ( In Numbers),0
390,P49700011929,,Number of Garages ( In Numbers),0
391,P49700011929,,Covered Parking ( In Numbers),0
392,P49700012888,,Number of Garages ( In Numbers),0
393,P49700012888,,Covered Parking ( In Numbers),0
394,P49700013238,,Number of Garages ( In Numbers),0
395,P49700013238,,Covered Parking ( In Numbers),0
396,P49700014635,,Number of Garages ( In Numbers),0
397,P49700014635,,Covered Parking ( In Numbers),1
398,P49700014712,,Number of Garages ( In Numbers),0
399,P49700014712,,Covered Parking ( In Numbers),0
400,P49700014888,,Number of Garages ( In Numbers),0
401,P49700014888,,Covered Parking ( In Numbers),0
402,P49700016150,,Number of Garages ( In Numbers),0
403,P49700016150,,Covered Parking ( In Numbers),0
404,P49700016542,,Number of Garages ( In Numbers),0
405,P49700016542,,Covered Parking ( In Numbers),0
406,P49700023132,,Number of Garages ( In Numbers),0
407,P49700023132,,Covered Parking ( In Numbers),0
408,P49700025399,,Number of Garages ( In Numbers),0
409,P49700025399,,Covered Parking ( In Numbers),0
410,P49700026900,,Number of Garages ( In Numbers),0
411,P49700026900,,Covered Parking ( In Numbers),0
412,P49700029921,,Number of Garages ( In Numbers),0
413,P49700029921,,Covered Parking ( In Numbers),0
414,P49800001074,,Number of Garages ( In Numbers),0
415,P49800001074,,Covered Parking ( In Numbers),30
416,P49800007544,,Number of Garages ( In Numbers),0
417,P49800007544,,Covered Parking ( In Numbers),0
418,P49800009159,,Number of Garages ( In Numbers),0
419,P49800009159,,Covered Parking ( In Numbers),0
420,P49800009342,,Number of Garages ( In Numbers),0
421,P49800009342,,Covered Parking ( In Numbers),0
422,P49800010300,,Number of Garages ( In Numbers),0
423,P49800010300,,Covered Parking ( In Numbers),0
424,P49800011074,,Number of Garages ( In Numbers),0
425,P49800011074,,Covered Parking ( In Numbers),0
426,P49800011285,,Number of Garages ( In Numbers),0
427,P49800011285,,Covered Parking ( In Numbers),0
428,P49800011701,,Number of Garages ( In Numbers),0
429,P49800011701,,Covered Parking ( In Numbers),0
430,P49800011969,,Number of Garages ( In Numbers),0
431,P49800011969,,Covered Parking ( In Numbers),0
432,P49800011983,,Number of Garages ( In Numbers),0
433,P49800011983,,Covered Parking ( In Numbers),0
434,P49800012302,,Number of Garages ( In Numbers),0
435,P49800012302,,Covered Parking ( In Numbers),7
436,P49800013485,,Number of Garages ( In Numbers),0
437,P49800013485,,Covered Parking ( In Numbers),0
438,P49800013520,,Number of Garages ( In Numbers),0
439,P49800013520,,Covered Parking ( In Numbers),8
440,P49800014014,,Number of Garages ( In Numbers),0
441,P49800014014,,Covered Parking ( In Numbers),0
442,P49800014940,,Number of Garages ( In Numbers),0
443,P49800014940,,Covered Parking ( In Numbers),0
444,P49800015070,,Number of Garages ( In Numbers),0
445,P49800015070,,Covered Parking ( In Numbers),0
446,P49800015667,,Number of Garages ( In Numbers),0
447,P49800015667,,Covered Parking ( In Numbers),0
448,P49800017275,,Number of Garages ( In Numbers),0
449,P49800017275,,Covered Parking ( In Numbers),0
450,P49800017493,,Number of Garages ( In Numbers),0
451,P49800017493,,Covered Parking ( In Numbers),10
452,P49800018489,,Number of Garages ( In Numbers),0
453,P49800018489,,Covered Parking ( In Numbers),0
454,P49800018509,,Number of Garages ( In Numbers),0
455,P49800018509,,Covered Parking ( In Numbers),0
456,P49800019755,,Number of Garages ( In Numbers),0
457,P49800019755,,Covered Parking ( In Numbers),0
458,P49800021196,,Number of Garages ( In Numbers),NA
459,P49800021196,,Covered Parking ( In Numbers),0
460,P49800021515,,Number of Garages ( In Numbers),0
461,P49800021515,,Covered Parking ( In Numbers),0
462,P49800021525,,Number of Garages ( In Numbers),0
463,P49800021525,,Covered Parking ( In Numbers),0
464,P49800022200,,Number of Garages ( In Numbers),0
465,P49800022200,,Covered Parking ( In Numbers),8
466,P49800022364,,Number of Garages ( In Numbers),0
