,address_id,house_number,block_number,building_name,street_name,locality,landmark,state,division,district,taluka,village,pincode
12963,7fe77fb40048760bc26d44616202978e,Plot No 6,,Ashish Associates,Ramkrishna Nagar,Ajni Square,Wardha Road,MAHARASHTRA,Nagpur,Nagpur,Nagpur (Urban),Nagpur (M Corp.),440015
12964,7fe843e8419f60b155fd7e67963c79f7,,,,SILVASSA -BHILAD  MAIN ROAD,SILVASSA,,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Dadra & Nagar Haveli,,396230
12965,7fe89d54dec36b47364992643b63acfb,,,,"UTTARA NAGRI,BRIJWADI",AURANGABAD,,MAHARASHTRA,Aurangabad,Aurangabad,Aurangabad,Aurangabad (M Corp.),431003
12966,7feaf6705a53bde56a05fb4eda8e939b,,,,PANT NAGAR,GHAKOPAR EAST,,MAHARASHTRA,Konkan,Mumbai Suburban,Kurla,Kurla,400075
12967,7feddf4793cf68b2b76f9d743aa6a5ca,,,,Rahi Colony,Jaitala,,MAHARASHTRA,Nagpur,Nagpur,Nagpur (Urban),Nagpur (M Corp.),440036
12968,7feed498faf56ab06c33e6ac4ed11779,,,,P.L.Lokhande Marg,Upper Chembur,,MAHARASHTRA,Konkan,Mumbai Suburban,Kurla,Kurla,400043
12969,7ff021d4d5db0d479c1fb491fef62214,,,,"PLOT NO. 47, CTS NO. 15561/63",ULKANAGARI,,MAHARASHTRA,Aurangabad,Aurangabad,Aurangabad,Aurangabad (M Corp.),431001
12970,7ff37f02f0987878ff32b6f13a13437e,,PAP 910,MIDC,NA,ANAND NAGAR,NEAR SACHIN HOTEL,MAHARASHTRA,Konkan,Thane,Ambarnath,Ambarnath (R),421506
12971,80027d2d63cff05a395ace6b76f1263d,,,,PATHARDI ROAD,"INDIRA NAGAR ANNEXE, PATHARDI",,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik,422009
12972,800421b38d6f602fb9541ef8baa952d4,,,,SHIVAJI NAGAR,SHIVAJI NAGAR,,MAHARASHTRA,Konkan,Thane,Kalyan,DOMBIVLI,421202
12973,8005f72ec88684428ab9a09794b515a6,,17 & 18,Lucky Mansion,A.H. Wadia Road,Kurla,Kurla West,MAHARASHTRA,Konkan,Mumbai Suburban,Kurla,Kurla,400070
12974,8006c81893e3b90c38a59c5170055adf,1,,Malviya Complex,VMV Road,Rathi Nagar,Behind Bood Narsing Home,MAHARASHTRA,Amravati,Amravati,Amravati,Amravati (M Corp.),444603
12975,8009a13e00df4908f28c993077c413ff,FLAT NO B 205,,SANGHAVI NAKSHATRA,DINDORI ROAD,MERI,POKAR COLONY,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik (M Corp.),422004
12976,800b719efb98bb6fb42cbc8462475264,,,,BEED BY PASS ROAD,MAUJE SATARA,,MAHARASHTRA,Aurangabad,Aurangabad,Aurangabad,Satara (CT),431001
12977,8011682851eb0259d2aa897da31ef351,,,,100 FEET ROAD,MIRA ROAD EAST,,MAHARASHTRA,Konkan,Thane,Thane,Mira-Bhayandar (M Corp.),401107
12978,80120cde2742f45efe4593460d1c96d6,,1,Shri Sai Prasad Tower,Surval Chowk,Shirgaon MIDC,Surval Chowk,MAHARASHTRA,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503
12979,8013c68dbf85b4cac47e3bafca090f2d,,GND Shop No - 01,Shailjeet Heights,Ganesh Mandir Road,Opp Nehru Maidan,Opp Nehru Maidan,MAHARASHTRA,Konkan,Thane,Kalyan,Kalyan-Dombivali (M Corp.),421201
12980,80191df875c67a6e74a06d6a4fedc4ec,,5th Floor,"10, Solitaire Corporate Park",Guru Hargovindji Road,"Chakala, Andheri East",Opposite The Mirador Hotel,MAHARASHTRA,Konkan,Mumbai Suburban,Andheri,Andheri,400093
12981,801ff4bb8e92a1a2135dd73a2edd2283,,"A-WING, OFFICE NO.409-410",GROMA HOUSE,PLOT NO.14-C,SECTOR-19,"APMC,VASHI",MAHARASHTRA,Konkan,Thane,Thane,Navi Mumbai (M Corp.),400703
12982,8020ee8509b625e4ab85d20e55c35617,,,,Titwala road,kalyan,,MAHARASHTRA,Konkan,Thane,Kalyan,Titwala,421605
12983,802385c324d42eba34542d6633f28494,,,,MANJARLI VALIVALI ROAD,DIPALI PARK,,MAHARASHTRA,Konkan,Thane,Ambarnath,Badlapur (M Cl),421503
